accom_id,type,name,district,address ,phone,mail,URL,room,review
57,民宿,藤枝民宿山莊,桃源區,848高雄市桃源區寶山里寶山巷146號,07-6895116,,,5,5.2
58,民宿,左營蓮潭郭家百年古厝,左營區,813高雄市左營區店仔頂街110巷27號,07-5851555,,,4,8.1
59,民宿,美濃情休閒觀光民宿,美濃區,843高雄市美濃區祿興里上竹圍14號,07-6813351,,,3,6.8
60,民宿,草地人民宿,六龜區,844高雄市六龜區新發里新開路33-1號,07-6791992,,,2,9
61,民宿,亞力民宿,桃源區,848高雄市桃源區建山巷86-2號,07-6882042,,,4,7.3
62,民宿,人字山莊,美濃區,843高雄市美濃區民權路66-5號,07-6822159,,,3,6.3
63,民宿,道時尚悠然山莊,六龜區,844高雄市六龜區新發里和平路130-5號,07-6791003,,,5,8.1
64,民宿,旺福民宿,左營區,813高雄市左營區建業新村50號,07-5812853,,,2,8.8
65,民宿,建業六號,左營區,813高雄市左營區建業新村6號,0908-567007,,,2,4.3
66,民宿,隱君子的撒野,岡山區,820高雄市岡山區菜寮路2-26號,0933-346863,,,3,8.4
67,民宿,旗津海民宿,旗津區,805高雄市旗津區廟前路100號,0903-770566,,,5,6.8
68,民宿,溝頂民宿,鹽埕區,803高雄市鹽埕區高雄市鹽埕區大公路70巷6-2號,0932-828922,,,4,6.3
69,民宿,濃杉小築,美濃區,843高雄市美濃區高雄市美濃區中山路二段632巷35號,0936-848860,,,3,9.9
70,民宿,日景園,六龜區,844高雄市六龜區文武里光明巷37-1號,07-6891317,,,5,5
71,民宿,自由宿-鹽埕館,鹽埕區,803高雄市鹽埕區光榮街37巷1號,0985-787955,,,5,6.9
72,民宿,小媽寶眷村民宿,左營區,813高雄市左營區緯十路54-7號,0980-424526,,,2,6.4
73,民宿,圈叉行旅,鹽埕區,803高雄市鹽埕區高雄市鹽埕區五福四路272號,0968-300818,,,4,6.7
74,民宿,海軍官邸三號院,左營區,813高雄市左營區建業新村3號,0929-969789,,,4,9.7
75,民宿,海軍官邸四號院,左營區,813高雄市左營區建業新村4號,0929-071789,,,4,4.2
